shipment_id,supplier_id,component_id,route,carrier,ship_date,scheduled_delivery,actual_delivery,delay_days,delay_cause,delayed,supplier_name,region,reliability_score,avg_lead_time,component_name,category,criticality,avg_cost
SH0021,SUP002,C002,South,BlueDart,2025-04-04,2025-04-12,2025-04-12,0,None,No,Beta Co,India,0.81,6,Sensor,Electrical,Medium,219
SH0022,SUP001,C006,South,Delhivery,2025-04-13,2025-04-20,2025-04-20,0,None,No,Alpha Ltd,US,0.87,7,Controller,Mechanical,Low,495
SH0023,SUP003,C001,West,Amazon Logistics,2025-02-12,2025-02-19,2025-02-19,0,,No,Gamma Industries,Asia,0.76,5,Motor,Electrical,Medium,108
SH0024,SUP004,C003,East,Delhivery,2025-06-26,2025-06-29,2025-06-29,0,None,No,Delta Corp,US,0.63,8,Valve,Electrical,High,237
SH0025,SUP002,C004,North,BlueDart,2025-02-03,2025-02-09,2025-02-09,0,None,No,Beta Co,India,0.81,6,Bearing,Electrical,High,320
SH0026,SUP005,C001,North,DTDC,2025-03-26,2025-04-02,2025-04-03,1,None,Yes,Epsilon Exports,US,0.76,7,Motor,Electrical,Medium,108
SH0027,SUP005,C006,West,BlueDart,2025-07-18,2025-07-21,2025-07-22,-1,Carrier issue,No,Epsilon Exports,US,0.76,7,Controller,Mechanical,Low,495
SH0028,SUP001,C004,South,BlueDart,2025-04-02,2025-04-08,2025-04-08,0,None,No,Alpha Ltd,US,0.87,7,Bearing,Electrical,High,320
SH0029,SUP002,C005,South,BlueDart,2025-01-07,2025-01-16,2025-01-17,1,Customs,Yes,Beta Co,India,0.81,6,Pump,Mechanical,High,239
SH0030,SUP003,C004,West,BlueDart,2025-07-19,2025-07-24,2025-07-27,3,Weather,Yes,Gamma Industries,Asia,0.76,5,Bearing,Electrical,High,320
SH0031,SUP002,C005,North,Delhivery,2025-01-25,2025-02-01,2025-02-03,2,None,Yes,Beta Co,India,0.81,6,Pump,Mechanical,High,239
SH0032,SUP003,C006,West,BlueDart,2025-04-05,2025-04-08,2025-04-09,1,Weather,Yes,Gamma Industries,Asia,0.76,5,Controller,Mechanical,Low,495
SH0033,SUP005,C004,East,DTDC,2025-02-13,2025-02-19,2025-02-19,0,None,No,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0034,SUP001,C001,East,Delhivery,2025-08-09,2025-08-18,2025-08-18,0,None,No,Alpha Ltd,US,0.87,7,Motor,Electrical,Medium,108
SH0035,SUP001,C003,North,Delhivery,2025-04-06,2025-04-13,2025-04-16,3,None,Yes,Alpha Ltd,US,0.87,7,Valve,Electrical,High,237
SH0036,SUP004,C004,East,BlueDart,2025-03-23,2025-03-28,2025-03-28,0,None,No,Delta Corp,US,0.63,8,Bearing,Electrical,High,320
SH0037,SUP005,C003,South,DTDC,2025-03-02,2025-03-09,2025-03-12,3,Supplier issue,Yes,Epsilon Exports,US,0.76,7,Valve,Electrical,High,237
SH0038,SUP003,C005,North,BlueDart,2025-05-12,2025-05-15,2025-05-18,3,Carrier issue,Yes,Gamma Industries,Asia,0.76,5,Pump,Mechanical,High,239
SH0039,SUP002,C002,North,Delhivery,2025-05-06,2025-05-09,2025-05-11,2,Traffic,Yes,Beta Co,India,0.81,6,Sensor,Electrical,Medium,219
SH0040,SUP003,C005,East,DTDC,2025-07-06,2025-07-10,2025-07-10,0,None,No,Gamma Industries,Asia,0.76,5,Pump,Mechanical,High,239
SH0041,SUP002,C002,South,Amazon Logistics,2025-09-08,2025-09-13,2025-09-13,0,None,No,Beta Co,India,0.81,6,Sensor,Electrical,Medium,219
SH0042,SUP004,C006,South,BlueDart,2025-03-08,2025-03-17,2025-03-17,0,,No,Delta Corp,US,0.63,8,Controller,Mechanical,Low,495
SH0043,SUP005,C005,South,Amazon Logistics,2025-07-17,2025-07-24,2025-07-24,0,None,No,Epsilon Exports,US,0.76,7,Pump,Mechanical,High,239
SH0044,SUP003,C001,South,BlueDart,2025-04-05,2025-04-13,2025-04-13,0,None,No,Gamma Industries,Asia,0.76,5,Motor,Electrical,Medium,108
SH0045,SUP003,C003,West,BlueDart,2025-07-18,2025-07-27,2025-07-27,99,None,Yes,Gamma Industries,Asia,0.76,5,Valve,Electrical,High,237
SH0046,SUP003,C003,East,BlueDart,2025-01-06,2025-01-11,2025-01-11,0,None,No,Gamma Industries,Asia,0.76,5,Valve,Electrical,High,237
SH0047,SUP005,C004,West,BlueDart,2025-05-28,2025-06-04,2025-06-04,0,None,No,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0048,SUP001,C004,South,Amazon Logistics,2025-07-12,2025-07-17,2025-07-17,0,None,No,Alpha Ltd,US,0.87,7,Bearing,Electrical,High,320
SH0049,SUP005,C001,North,DTDC,2025-02-15,2025-02-21,2025-02-26,5,Carrier issue,Yes,Epsilon Exports,US,0.76,7,Motor,Electrical,Medium,108
SH0050,SUP005,C001,East,Delhivery,2025-03-11,2025-03-19,2025-03-19,0,,No,Epsilon Exports,US,0.76,7,Motor,Electrical,Medium,108
SH0051,SUP002,C002,East,Delhivery,2025-09-22,2025-09-30,2025-09-30,0,None,No,Beta Co,India,0.81,6,Sensor,Electrical,Medium,219
SH0052,SUP004,C006,West,Delhivery,2025-04-24,2025-04-30,2025-04-30,0,None,No,Delta Corp,US,0.63,8,Controller,Mechanical,Low,495
SH0053,SUP004,C001,East,Delhivery,2025-05-26,2025-06-03,2025-06-05,2,Traffic,Yes,Delta Corp,US,0.63,8,Motor,Electrical,Medium,108
SH0054,SUP002,C001,South,BlueDart,2025-02-15,2025-02-24,2025-02-25,1,Traffic,Yes,Beta Co,India,0.81,6,Motor,Electrical,Medium,108
SH0055,SUP001,C001,East,DTDC,2025-04-24,2025-04-27,2025-04-27,0,None,No,Alpha Ltd,US,0.87,7,Motor,Electrical,Medium,108
SH0056,SUP001,C006,South,Amazon Logistics,2025-09-15,2025-09-23,2025-09-23,0,None,No,Alpha Ltd,US,0.87,7,Controller,Mechanical,Low,495
SH0057,SUP005,C004,North,Amazon Logistics,2025-04-26,2025-05-03,2025-05-06,3,Carrier issue,Yes,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0058,SUP001,C002,East,Delhivery,2025-02-28,2025-03-03,2025-03-03,0,None,No,Alpha Ltd,US,0.87,7,Sensor,Electrical,Medium,219
SH0059,SUP001,C005,South,Delhivery,2025-06-05,2025-06-08,2025-06-08,0,None,No,Alpha Ltd,US,0.87,7,Pump,Mechanical,High,239
SH0060,SUP004,C002,South,Amazon Logistics,2025-05-21,2025-05-27,2025-05-27,0,None,No,Delta Corp,US,0.63,8,Sensor,Electrical,Medium,219
SH0061,SUP003,C002,East,Amazon Logistics,2025-02-21,2025-02-26,2025-02-26,0,,No,Gamma Industries,Asia,0.76,5,Sensor,Electrical,Medium,219
SH0062,SUP003,C004,West,Delhivery,2025-04-05,2025-04-08,2025-04-08,0,None,No,Gamma Industries,Asia,0.76,5,Bearing,Electrical,High,320
SH0063,SUP003,C001,East,BlueDart,2025-04-17,2025-04-25,2025-04-29,4,Customs,Yes,Gamma Industries,Asia,0.76,5,Motor,Electrical,Medium,108
SH0064,SUP005,C004,West,Amazon Logistics,2025-03-13,2025-03-19,2025-03-19,0,None,No,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0065,SUP001,C006,East,Amazon Logistics,2025-06-27,2025-07-01,2025-07-06,5,None,Yes,Alpha Ltd,US,0.87,7,Controller,Mechanical,Low,495
SH0066,SUP001,C006,North,Delhivery,2025-08-05,2025-08-08,2025-08-11,3,Weather,Yes,Alpha Ltd,US,0.87,7,Controller,Mechanical,Low,495
SH0067,SUP003,C006,West,Amazon Logistics,2025-01-17,2025-01-20,2025-01-24,4,Weather,Yes,Gamma Industries,Asia,0.76,5,Controller,Mechanical,Low,495
SH0068,SUP005,C005,East,DTDC,2025-07-19,2025-07-27,2025-07-27,0,None,No,Epsilon Exports,US,0.76,7,Pump,Mechanical,High,239
SH0069,SUP001,C003,West,BlueDart,2025-07-11,2025-07-14,2025-07-14,0,None,No,Alpha Ltd,US,0.87,7,Valve,Electrical,High,237
SH0070,SUP003,C005,North,Amazon Logistics,2025-04-23,2025-05-01,2025-05-01,0,None,No,Gamma Industries,Asia,0.76,5,Pump,Mechanical,High,239
SH0071,SUP004,C005,North,BlueDart,2025-02-27,2025-03-05,2025-03-05,0,None,No,Delta Corp,US,0.63,8,Pump,Mechanical,High,239
SH0072,SUP005,C006,East,BlueDart,2025-03-05,2025-03-13,2025-03-13,0,None,No,Epsilon Exports,US,0.76,7,Controller,Mechanical,Low,495
SH0073,SUP004,C002,West,Amazon Logistics,2025-04-28,2025-05-04,2025-05-04,0,None,No,Delta Corp,US,0.63,8,Sensor,Electrical,Medium,219
SH0074,SUP004,C001,North,Delhivery,2025-09-22,2025-09-27,2025-09-27,0,None,No,Delta Corp,US,0.63,8,Motor,Electrical,Medium,108
SH0075,SUP001,C006,East,Delhivery,2025-04-02,2025-04-10,2025-04-10,0,None,No,Alpha Ltd,US,0.87,7,Controller,Mechanical,Low,495
SH0076,SUP003,C006,North,DTDC,2025-06-13,2025-06-19,2025-06-22,3,Traffic,Yes,Gamma Industries,Asia,0.76,5,Controller,Mechanical,Low,495
SH0077,SUP005,C006,South,BlueDart,2025-04-05,2025-04-14,2025-04-14,0,None,No,Epsilon Exports,US,0.76,7,Controller,Mechanical,Low,495
SH0078,SUP002,C005,East,BlueDart,2025-01-13,2025-01-16,2025-01-16,0,None,No,Beta Co,India,0.81,6,Pump,Mechanical,High,239
SH0079,SUP004,C001,North,DTDC,2025-07-19,2025-07-24,2025-07-24,0,None,No,Delta Corp,US,0.63,8,Motor,Electrical,Medium,108
SH0080,SUP005,C001,South,Amazon Logistics,2025-08-26,2025-09-02,2025-09-06,4,Customs,Yes,Epsilon Exports,US,0.76,7,Motor,Electrical,Medium,108
SH0081,SUP001,C003,North,Amazon Logistics,2025-01-21,2025-01-26,2025-01-26,0,None,No,Alpha Ltd,US,0.87,7,Valve,Electrical,High,237
SH0082,SUP005,C004,West,BlueDart,2025-08-16,2025-08-20,2025-08-20,0,None,No,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0083,SUP004,C006,West,BlueDart,2025-07-15,2025-07-20,2025-07-20,0,None,No,Delta Corp,US,0.63,8,Controller,Mechanical,Low,495
SH0084,SUP003,C003,East,Delhivery,2025-08-07,2025-08-16,2025-08-16,0,None,No,Gamma Industries,Asia,0.76,5,Valve,Electrical,High,237
SH0085,SUP003,C002,West,BlueDart,2025-05-24,2025-05-27,2025-05-27,0,None,No,Gamma Industries,Asia,0.76,5,Sensor,Electrical,Medium,219
SH0086,SUP003,C001,East,DTDC,2025-07-13,2025-07-22,2025-07-23,1,Supplier issue,Yes,Gamma Industries,Asia,0.76,5,Motor,Electrical,Medium,108
SH0087,SUP002,C005,East,Amazon Logistics,2025-01-28,2025-02-02,2025-02-02,99,None,Yes,Beta Co,India,0.81,6,Pump,Mechanical,High,239
SH0088,SUP005,C004,East,Delhivery,2025-01-06,2025-01-09,2025-01-09,0,None,No,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0089,SUP004,C001,East,Delhivery,2025-03-08,2025-03-17,2025-03-20,3,Supplier issue,Yes,Delta Corp,US,0.63,8,Motor,Electrical,Medium,108
SH0090,SUP001,C003,West,Delhivery,2025-09-05,2025-09-14,2025-09-14,0,None,No,Alpha Ltd,US,0.87,7,Valve,Electrical,High,237
SH0091,SUP002,C004,East,DTDC,2025-03-08,2025-03-12,2025-03-16,-1,Customs,No,Beta Co,India,0.81,6,Bearing,Electrical,High,320
SH0092,SUP001,C006,South,BlueDart,2025-02-25,2025-03-03,2025-03-03,0,None,No,Alpha Ltd,US,0.87,7,Controller,Mechanical,Low,495
SH0093,SUP003,C003,North,DTDC,2025-06-16,2025-06-19,2025-06-19,0,None,No,Gamma Industries,Asia,0.76,5,Valve,Electrical,High,237
SH0094,SUP001,C002,East,DTDC,2025-06-09,2025-06-15,2025-06-15,0,None,No,Alpha Ltd,US,0.87,7,Sensor,Electrical,Medium,219
SH0095,SUP003,C003,East,Amazon Logistics,2025-06-12,2025-06-17,2025-06-17,0,None,No,Gamma Industries,Asia,0.76,5,Valve,Electrical,High,237
SH0096,SUP005,C006,West,Delhivery,2025-08-01,2025-08-04,2025-08-04,0,None,No,Epsilon Exports,US,0.76,7,Controller,Mechanical,Low,495
SH0097,SUP004,C003,West,Amazon Logistics,2025-08-04,2025-08-09,2025-08-10,1,None,Yes,Delta Corp,US,0.63,8,Valve,Electrical,High,237
SH0098,SUP003,C006,East,BlueDart,2025-06-11,2025-06-17,2025-06-17,0,None,No,Gamma Industries,Asia,0.76,5,Controller,Mechanical,Low,495
SH0099,SUP001,C006,South,DTDC,2025-02-20,2025-02-26,2025-03-02,4,Weather,Yes,Alpha Ltd,US,0.87,7,Controller,Mechanical,Low,495
SH0100,SUP001,C003,West,DTDC,2025-04-22,2025-04-30,2025-04-30,0,None,No,Alpha Ltd,US,0.87,7,Valve,Electrical,High,237
SH0101,SUP005,C006,East,Delhivery,2025-05-11,2025-05-19,2025-05-20,1,Supplier issue,Yes,Epsilon Exports,US,0.76,7,Controller,Mechanical,Low,495
SH0102,SUP004,C003,North,Amazon Logistics,2025-09-25,2025-10-02,2025-10-02,0,None,No,Delta Corp,US,0.63,8,Valve,Electrical,High,237
SH0103,SUP005,C005,North,Amazon Logistics,2025-06-11,2025-06-19,2025-06-19,0,None,No,Epsilon Exports,US,0.76,7,Pump,Mechanical,High,239
SH0104,SUP001,C001,East,Delhivery,2025-05-21,2025-05-29,2025-05-29,0,None,No,Alpha Ltd,US,0.87,7,Motor,Electrical,Medium,108
SH0105,SUP005,C005,East,Amazon Logistics,2025-08-24,2025-08-31,2025-08-31,0,None,No,Epsilon Exports,US,0.76,7,Pump,Mechanical,High,239
SH0106,SUP004,C001,North,BlueDart,2025-08-21,2025-08-24,2025-08-24,0,None,No,Delta Corp,US,0.63,8,Motor,Electrical,Medium,108
SH0107,SUP004,C005,North,BlueDart,2025-03-07,2025-03-15,2025-03-15,0,None,No,Delta Corp,US,0.63,8,Pump,Mechanical,High,239
SH0108,SUP002,C003,North,Delhivery,2025-05-16,2025-05-22,2025-05-22,0,None,No,Beta Co,India,0.81,6,Valve,Electrical,High,237
SH0109,SUP004,C001,West,Amazon Logistics,2025-09-12,2025-09-21,2025-09-22,1,Customs,Yes,Delta Corp,US,0.63,8,Motor,Electrical,Medium,108
SH0110,SUP005,C005,West,Delhivery,2025-02-26,2025-03-04,2025-03-04,0,None,No,Epsilon Exports,US,0.76,7,Pump,Mechanical,High,239
SH0111,SUP003,C003,North,DTDC,2025-07-20,2025-07-28,2025-07-28,0,None,No,Gamma Industries,Asia,0.76,5,Valve,Electrical,High,237
SH0112,SUP003,C004,West,Delhivery,2025-01-02,2025-01-10,2025-01-10,0,None,No,Gamma Industries,Asia,0.76,5,Bearing,Electrical,High,320
SH0113,SUP005,C004,West,DTDC,2025-06-04,2025-06-12,2025-06-12,0,None,No,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0114,SUP003,C005,West,Delhivery,2025-03-23,2025-03-31,2025-04-03,3,None,Yes,Gamma Industries,Asia,0.76,5,Pump,Mechanical,High,239
SH0115,SUP004,C001,North,Delhivery,2025-01-22,2025-01-26,2025-01-26,0,None,No,Delta Corp,US,0.63,8,Motor,Electrical,Medium,108
SH0116,SUP003,C004,North,Delhivery,2025-09-08,2025-09-11,2025-09-11,0,None,No,Gamma Industries,Asia,0.76,5,Bearing,Electrical,High,320
SH0117,SUP005,C004,North,BlueDart,2025-06-25,2025-06-28,2025-06-28,0,None,No,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0118,SUP005,C004,West,Amazon Logistics,2025-08-11,2025-08-18,2025-08-18,0,None,No,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0119,SUP003,C005,East,BlueDart,2025-04-05,2025-04-11,2025-04-11,0,None,No,Gamma Industries,Asia,0.76,5,Pump,Mechanical,High,239
SH0120,SUP003,C003,North,BlueDart,2025-04-14,2025-04-17,2025-04-17,0,None,No,Gamma Industries,Asia,0.76,5,Valve,Electrical,High,237
SH0121,SUP005,C005,East,Delhivery,2025-06-09,2025-06-15,2025-06-20,5,Traffic,Yes,Epsilon Exports,US,0.76,7,Pump,Mechanical,High,239
SH0122,SUP004,C005,East,Delhivery,2025-01-26,2025-02-03,2025-02-06,3,Traffic,Yes,Delta Corp,US,0.63,8,Pump,Mechanical,High,239
SH0123,SUP003,C002,East,Delhivery,2025-08-04,2025-08-10,2025-08-10,0,None,No,Gamma Industries,Asia,0.76,5,Sensor,Electrical,Medium,219
SH0124,SUP003,C004,South,Amazon Logistics,2025-04-25,2025-05-02,2025-05-02,0,None,No,Gamma Industries,Asia,0.76,5,Bearing,Electrical,High,320
SH0125,SUP003,C002,East,Delhivery,2025-07-23,2025-07-30,2025-07-30,0,,No,Gamma Industries,Asia,0.76,5,Sensor,Electrical,Medium,219
SH0126,SUP001,C001,South,DTDC,2025-06-07,2025-06-13,2025-06-18,5,None,Yes,Alpha Ltd,US,0.87,7,Motor,Electrical,Medium,108
SH0127,SUP005,C005,South,Delhivery,2025-04-21,2025-04-28,2025-04-28,0,None,No,Epsilon Exports,US,0.76,7,Pump,Mechanical,High,239
SH0128,SUP001,C002,North,Delhivery,2025-06-28,2025-07-01,2025-07-01,0,None,No,Alpha Ltd,US,0.87,7,Sensor,Electrical,Medium,219
SH0129,SUP002,C001,North,Delhivery,2025-09-10,2025-09-14,2025-09-14,0,None,No,Beta Co,India,0.81,6,Motor,Electrical,Medium,108
SH0130,SUP004,C004,East,DTDC,2025-03-19,2025-03-28,2025-03-31,3,None,Yes,Delta Corp,US,0.63,8,Bearing,Electrical,High,320
SH0131,SUP001,C001,East,BlueDart,2025-02-27,2025-03-07,2025-03-07,0,None,No,Alpha Ltd,US,0.87,7,Motor,Electrical,Medium,108
SH0132,SUP005,C003,East,Delhivery,2025-05-10,2025-05-19,2025-05-21,2,Customs,Yes,Epsilon Exports,US,0.76,7,Valve,Electrical,High,237
SH0133,SUP002,C005,North,BlueDart,2025-02-04,2025-02-13,2025-02-13,0,None,No,Beta Co,India,0.81,6,Pump,Mechanical,High,239
SH0134,SUP005,C002,North,DTDC,2025-07-19,2025-07-23,2025-07-23,0,None,No,Epsilon Exports,US,0.76,7,Sensor,Electrical,Medium,219
SH0135,SUP004,C006,East,DTDC,2025-06-24,2025-06-27,2025-06-27,0,None,No,Delta Corp,US,0.63,8,Controller,Mechanical,Low,495
SH0136,SUP004,C002,North,BlueDart,2025-02-04,2025-02-12,2025-02-12,0,None,No,Delta Corp,US,0.63,8,Sensor,Electrical,Medium,219
SH0137,SUP004,C005,East,BlueDart,2025-04-13,2025-04-20,2025-04-20,0,None,No,Delta Corp,US,0.63,8,Pump,Mechanical,High,239
SH0138,SUP005,C004,East,BlueDart,2025-08-06,2025-08-10,2025-08-11,1,Carrier issue,Yes,Epsilon Exports,US,0.76,7,Bearing,Electrical,High,320
SH0139,SUP002,C002,North,DTDC,2025-08-23,2025-08-30,2025-08-30,0,None,No,Beta Co,India,0.81,6,Sensor,Electrical,Medium,219
SH0140,SUP003,C004,East,BlueDart,2025-01-11,2025-01-20,2025-01-20,0,None,No,Gamma Industries,Asia,0.76,5,Bearing,Electrical,High,320
SH0141,SUP003,C001,South,DTDC,2025-09-18,2025-09-25,2025-09-25,0,None,No,Gamma Industries,Asia,0.76,5,Motor,Electrical,Medium,108
SH0142,SUP003,C002,North,DTDC,2025-01-23,2025-01-31,2025-02-04,4,,Yes,Gamma Industries,Asia,0.76,5,Sensor,Electrical,Medium,219
SH0143,SUP002,C003,South,DTDC,2025-06-28,2025-07-03,2025-07-03,0,None,No,Beta Co,India,0.81,6,Valve,Electrical,High,237
SH0144,SUP001,C002,North,Amazon Logistics,2025-09-16,2025-09-22,2025-09-22,0,None,No,Alpha Ltd,US,0.87,7,Sensor,Electrical,Medium,219
SH0145,SUP005,C005,West,Delhivery,2025-09-15,2025-09-24,2025-09-24,0,None,No,Epsilon Exports,US,0.76,7,Pump,Mechanical,High,239
SH0146,SUP004,C001,West,DTDC,2025-09-05,2025-09-10,2025-09-10,0,None,No,Delta Corp,US,0.63,8,Motor,Electrical,Medium,108
SH0147,SUP005,C002,North,Amazon Logistics,2025-05-17,2025-05-26,2025-05-28,2,Supplier issue,Yes,Epsilon Exports,US,0.76,7,Sensor,Electrical,Medium,219
SH0148,SUP005,C006,East,Delhivery,2025-04-24,2025-04-28,2025-04-28,0,None,No,Epsilon Exports,US,0.76,7,Controller,Mechanical,Low,495
SH0149,SUP005,C003,North,Amazon Logistics,2025-04-14,2025-04-20,2025-04-20,0,None,No,Epsilon Exports,US,0.76,7,Valve,Electrical,High,237
SH0150,SUP001,C002,East,Delhivery,2025-07-28,2025-08-06,2025-08-06,0,None,No,Alpha Ltd,US,0.87,7,Sensor,Electrical,Medium,219
SH0151,SUP004,C001,East,Delhivery,2025-07-05,2025-07-11,2025-07-11,0,None,No,Delta Corp,US,0.63,8,Motor,Electrical,Medium,108
SH0152,SUP001,C005,South,BlueDart,2025-03-03,2025-03-10,2025-03-10,0,None,No,Alpha Ltd,US,0.87,7,Pump,Mechanical,High,239
SH0153,SUP004,C005,East,Delhivery,2025-01-01,2025-01-07,2025-01-07,0,None,No,Delta Corp,US,0.63,8,Pump,Mechanical,High,239
SH0154,SUP005,C002,South,Delhivery,2025-03-16,2025-03-22,2025-03-26,4,None,Yes,Epsilon Exports,US,0.76,7,Sensor,Electrical,Medium,219
SH0155,SUP002,C006,East,BlueDart,2025-05-06,2025-05-14,2025-05-14,0,None,No,Beta Co,India,0.81,6,Controller,Mechanical,Low,495
SH0156,SUP003,C001,South,DTDC,2025-05-04,2025-05-13,2025-05-13,0,None,No,Gamma Industries,Asia,0.76,5,Motor,Electrical,Medium,108
SH0157,SUP003,C003,East,Delhivery,2025-04-18,2025-04-25,2025-04-27,-1,,No,Gamma Industries,Asia,0.76,5,Valve,Electrical,High,237
SH0158,SUP001,C005,North,BlueDart,2025-09-11,2025-09-19,2025-09-19,-1,None,No,Alpha Ltd,US,0.87,7,Pump,Mechanical,High,239
SH0159,SUP003,C005,North,Delhivery,2025-02-03,2025-02-12,2025-02-12,0,None,No,Gamma Industries,Asia,0.76,5,Pump,Mechanical,High,239
SH0160,SUP001,C005,North,Delhivery,2025-09-18,2025-09-22,2025-09-22,0,None,No,Alpha Ltd,US,0.87,7,Pump,Mechanical,High,239
SH0161,SUP004,C003,South,Amazon Logistics,2025-02-09,2025-02-16,2025-02-16,0,None,No,Delta Corp,US,0.63,8,Valve,Electrical,High,237
SH0162,SUP001,C005,West,DTDC,2025-09-16,2025-09-24,2025-09-25,1,Customs,Yes,Alpha Ltd,US,0.87,7,Pump,Mechanical,High,239
SH0163,SUP005,C001,North,BlueDart,2025-01-26,2025-02-01,2025-02-01,0,None,No,Epsilon Exports,US,0.76,7,Motor,Electrical,Medium,108
SH0164,SUP005,C006,East,BlueDart,2025-01-08,2025-01-12,2025-01-14,-1,None,No,Epsilon Exports,US,0.76,7,Controller,Mechanical,Low,495
SH0165,SUP005,C006,West,Delhivery,2025-06-15,2025-06-23,2025-06-23,0,None,No,Epsilon Exports,US,0.76,7,Controller,Mechanical,Low,495
SH0166,SUP003,C004,East,BlueDart,2025-02-01,2025-02-04,2025-02-04,0,None,No,Gamma Industries,Asia,0.76,5,Bearing,Electrical,High,320
SH0167,SUP002,C001,North,DTDC,2025-04-18,2025-04-25,2025-04-25,0,None,No,Beta Co,India,0.81,6,Motor,Electrical,Medium,108
SH0168,SUP001,C004,West,BlueDart,2025-05-03,2025-05-10,2025-05-15,5,Carrier issue,Yes,Alpha Ltd,US,0.87,7,Bearing,Electrical,High,320
SH0169,SUP004,C004,South,BlueDart,2025-08-03,2025-08-11,2025-08-14,3,Traffic,Yes,Delta Corp,US,0.63,8,Bearing,Electrical,High,320
SH0170,SUP002,C006,West,BlueDart,2025-02-02,2025-02-08,2025-02-08,0,None,No,Beta Co,India,0.81,6,Controller,Mechanical,Low,495
SH0171,SUP002,C001,West,Delhivery,2025-07-03,2025-07-08,2025-07-09,1,Supplier issue,Yes,Beta Co,India,0.81,6,Motor,Electrical,Medium,108
